node,x,y
6_84_2,-0.026009925577563875,0.22084979516446182
6_47_1,0.28924051694848024,0.804230003753047
6_83_2,0.34263513483040103,0.8889405025490313
6_88_5,-0.12785022765373683,0.14736162740555225
6_42_3,-0.11859201837408473,0.11980356449596102
6_81_5,-0.01675171629791178,0.14736162740555225
6_9_0,-0.21117411117060558,0.26677990001378027
6_35_5,0.6606425686043635,0.8196324656088556
5_7_3,-0.21117411117060558,0.09224550158636996
5_20_2,-0.11859201837408473,0.23003581613432544
6_20_1,-0.10933380909443263,0.17491969031514332
6_64_5,-0.05378455341652008,0.13817560643568846
6_48_3,-0.22969052972990975,0.18410571128500697
6_51_5,-0.1371084369333889,0.07387345964664266
3_1_0,-0.05378455341652008,0.08305948061650631
6_23_3,-0.01675171629791178,0.11061754352609737
6_32_3,-0.15562485549269306,0.11061754352609737
6_11_0,0.12292941207036645,0.9477672378240205
6_1_5,-0.06304276269617218,0.0646874386767789
5_2_2,-0.10933380909443263,0.09224550158636996
4_1_1,-0.0908173905351285,0.08305948061650631
6_58_3,-0.1371084369333889,0.1289895854658248
6_76_2,-0.23894873900956184,0.2759659209836439
2_0_1,-0.12785022765373683,0.046315396737051595
5_13_4,-0.01675171629791178,0.09224550158636996
6_78_5,-0.21117411117060558,0.07387345964664266
6_22_3,-0.23894873900956184,0.10143152255623375
6_111_2,-0.1371084369333889,0.2759659209836439
6_70_2,-0.16488306477234516,0.20247775322473438
6_3_5,-0.06304276269617218,0.07387345964664266
6_72_5,-0.19265769261130145,0.13817560643568846
6_93_5,-0.19265769261130145,0.14736162740555225
6_0_3,-0.15562485549269306,0.055501417706915246
5_17_0,-0.04452634413686804,0.23003581613432544
6_67_1,-0.08155918125547637,0.20247775322473438
6_105_0,-0.035268134857215916,0.23922183710418912
6_71_1,-0.16488306477234516,0.2575938790439165
6_57_0,-0.0723009719758243,0.1289895854658248
6_50_2,0.3969050743169435,0.5548046461870928
6_35_0,0.6214149865358434,0.7945246263476593
6_44_2,-0.18339948333164935,0.18410571128500697
6_87_5,-0.10933380909443263,0.14736162740555225
6_108_5,-0.17414127405199725,0.23922183710418912
6_5_5,0.7260259976546846,0.4265623632876162
6_39_3,0.5859233646643252,0.5685540729968928
6_43_0,-0.15562485549269306,0.24840785807405288
4_4_0,-0.23894873900956184,0.14736162740555225
6_67_0,-0.0723009719758243,0.20247775322473438
6_99_1,0.963547926632591,1.0023156650790106
6_30_4,-0.11859201837408473,0.11061754352609737
6_48_5,-0.0908173905351285,0.07387345964664266
6_21_5,-0.10933380909443263,0.0646874386767789
6_86_5,-0.10007559981478056,0.14736162740555225
5_3_1,-0.12785022765373683,0.09224550158636996
6_21_3,-0.22043232045025768,0.10143152255623375
6_46_5,-0.22043232045025768,0.11980356449596102
6_101_2,-0.146366646213041,0.16573366934527953
6_70_1,-0.146366646213041,0.2575938790439165
6_80_2,0.7190234248177112,0.6006894997015844
6_94_1,0.4542307677200074,0.729244244268549
5_3_4,-0.08155918125547637,0.055501417706915246
6_78_1,-0.23894873900956184,0.2575938790439165
6_27_1,0.9264746451130428,0.4477399879866123
6_63_2,-0.06304276269617218,0.2575938790439165
6_55_5,-0.17414127405199725,0.07387345964664266
4_4_1,-0.24820694828921394,0.14736162740555225
6_78_2,-0.24820694828921394,0.2575938790439165
6_35_2,0.6214149865358434,0.769416787086463
5_9_3,-0.035268134857215916,0.10143152255623375
6_89_5,0.45049480752300547,0.5585109372924142
6_103_5,-0.22043232045025768,0.16573366934527953
6_53_1,-0.22969052972990975,0.24840785807405288
5_14_2,-0.026009925577563875,0.09224550158636996
6_14_3,-0.11859201837408473,0.10143152255623375
6_44_4,-0.19265769261130145,0.11980356449596102
6_85_4,-0.0723009719758243,0.14736162740555225
6_36_3,-0.01675171629791178,0.07387345964664266
6_49_3,-0.01675171629791178,0.19329173225487076
6_97_3,0.21308753734639657,0.7195195049570624
6_28_2,-0.20191590189095351,0.17491969031514332
6_22_2,-0.22969052972990975,0.10143152255623375
5_10_1,-0.06304276269617218,0.1565476483754159
6_78_4,-0.18339948333164935,0.21166377419459803
6_60_1,-0.19265769261130145,0.1289895854658248
6_29_0,-0.06304276269617218,0.24840785807405288
6_25_3,-0.04452634413686804,0.11061754352609737
6_16_5,0.6962650630975484,0.727755247895561
6_54_4,-0.1371084369333889,0.19329173225487076
6_42_1,-0.16488306477234516,0.18410571128500697
6_16_0,0.7312779272824144,0.7536390114165563
6_8_2,-0.1371084369333889,0.14736162740555225
6_31_5,-0.22043232045025768,0.0646874386767789
6_80_1,0.7312779272824144,0.634809006161078
6_99_5,0.963547926632591,0.8851564811400878
6_14_4,-0.19265769261130145,0.055501417706915246
6_110_1,-0.0908173905351285,0.2759659209836439
5_4_3,-0.0908173905351285,0.055501417706915246
5_12_0,-0.026009925577563875,0.23003581613432544
6_33_4,-0.18339948333164935,0.11061754352609737
6_87_3,-0.11859201837408473,0.22084979516446182
6_35_4,0.5765834641718204,0.8196324656088556
6_87_4,-0.12785022765373683,0.22084979516446182
6_25_1,-0.026009925577563875,0.11061754352609737
6_73_2,-0.24820694828921394,0.20247775322473438
6_21_4,-0.10007559981478056,0.0646874386767789
5_1_2,-0.026009925577563875,0.055501417706915246
6_37_3,-0.026009925577563875,0.07387345964664266
